retro_game_id,game_type,game_type_des,st_fl,regseason_fl,playoff_fl,local_game_time,game_id,home_team_id,home_team_lg,away_team_id,away_team_lg,home_team_name,away_team_name,home_team_name_full,away_team_name_full,interleague_fl,park_id,park_name,park_loc
CHA201909070,R,Regular Season,F,T,F,18:10,567333,cha,AL,ana,AL,Chi White Sox,LA Angels,Chicago White Sox,Los Angeles Angels,F,4,Guaranteed Rate Field,"Chicago, IL"
CIN201909070,R,Regular Season,F,T,F,16:10,565293,cin,NL,ari,NL,Cincinnati,Arizona,Cincinnati Reds,Arizona Diamondbacks,F,2602,Great American Ball Park,"Cincinnati, OH"
MIL201909070,R,Regular Season,F,T,F,18:10,567624,mil,NL,chn,NL,Milwaukee,Chi Cubs,Milwaukee Brewers,Chicago Cubs,F,32,Miller Park,"Milwaukee, WI"
MIN201909070,R,Regular Season,F,T,F,18:10,567031,min,AL,cle,AL,Minnesota,Cleveland,Minnesota Twins,Cleveland Indians,F,3312,Target Field,"Minneapolis, MN"
SDN201909070,R,Regular Season,F,T,F,17:40,566344,sdn,NL,col,NL,San Diego,Colorado,San Diego Padres,Colorado Rockies,F,2680,Petco Park,"San Diego, CA"
OAK201909070,R,Regular Season,F,T,F,18:07,566157,oak,AL,det,AL,Oakland,Detroit,Oakland Athletics,Detroit Tigers,F,10,Oakland Coliseum,"Oakland, CA"
MIA201909070,R,Regular Season,F,T,F,18:10,567431,mia,NL,kca,AL,Miami,Kansas City,Miami Marlins,Kansas City Royals,T,4169,Marlins Park,"Miami, FL"
BOS201909070,R,Regular Season,F,T,F,16:05,565099,bos,AL,nya,AL,Boston,NY Yankees,Boston Red Sox,New York Yankees,F,3,Fenway Park,"Boston, MA"
NYN201909070,R,Regular Season,F,T,F,19:10,566055,nyn,NL,phi,NL,NY Mets,Philadelphia,New York Mets,Philadelphia Phillies,F,3289,Citi Field,"Flushing, NY"
HOU201909070,R,Regular Season,F,T,F,18:10,565676,hou,AL,sea,AL,Houston,Seattle,Houston Astros,Seattle Mariners,F,2392,Minute Maid Park,"Houston, TX"
LAN201909070,R,Regular Season,F,T,F,18:10,565873,lan,NL,sfn,NL,LA Dodgers,San Francisco,Los Angeles Dodgers,San Francisco Giants,F,22,Dodger Stadium,"Los Angeles, CA"
PIT201909070,R,Regular Season,F,T,F,19:05,566250,pit,NL,sln,NL,Pittsburgh,St. Louis,Pittsburgh Pirates,St. Louis Cardinals,F,31,PNC Park,"Pittsburgh, PA"
BAL201909070,R,Regular Season,F,T,F,19:05,565000,bal,AL,tex,AL,Baltimore,Texas,Baltimore Orioles,Texas Rangers,F,2,Oriole Park at Camden Yards,"Baltimore, MD"
TBA201909070,R,Regular Season,F,T,F,18:10,566737,tba,AL,tor,AL,Tampa Bay,Toronto,Tampa Bay Rays,Toronto Blue Jays,F,12,Tropicana Field,"St. Petersburg, FL"
ATL201909070,R,Regular Season,F,T,F,19:20,567240,atl,NL,was,NL,Atlanta,Washington,Atlanta Braves,Washington Nationals,F,4705,SunTrust Park,"Atlanta, GA"
